symbol,name,marketCap,exchange,sector,industry,yahooFinanceSymbol
HGS,Hinduja Global Solutions Limited,427857,NSE,Industrials,Specialty Business Services,HGS.NS
IFBIND,IFB Industries Limited,421679,NSE,Consumer Cyclical,,IFBIND.NS
MAHSCOOTER,Maharashtra Scooters Limited,420411,NSE,Consumer Cyclical,Auto Parts,MAHSCOOTER.NS
TINPLATE,The Tinplate Company of India Limited,420031,NSE,Basic Materials,Steel,TINPLATE.NS
RELIGARE,Religare Enterprises Limited,415090,NSE,Financial Services,Capital Markets,RELIGARE.NS
NOCIL,NOCIL Limited,414602,NSE,Basic Materials,Chemicals,NOCIL.NS
THYROCARE,Thyrocare Technologies Limited,410160,NSE,Healthcare,Diagnostics & Research,THYROCARE.NS
USHAMART,Usha Martin Limited,409878,NSE,Basic Materials,Steel,USHAMART.NS
ICRA,ICRA Limited,408652,NSE,Financial Services,Financial Data & Stock Exchanges,ICRA.NS
SARDAEN,Sarda Energy & Minerals Limited,408312,NSE,Basic Materials,Steel,SARDAEN.NS
CMSINFO,CMS Info Systems Limited,405778,NSE,Industrials,Specialty Business Services,CMSINFO.NS
TATACOFFEE,Tata Coffee Limited,404918,NSE,Consumer Defensive,Packaged Foods,TATACOFFEE.NS
MFL,Meghmani Finechem Limited,404200,NSE,Basic Materials,Chemicals,MFL.NS
SHAREINDIA,Share India Securities Limited,399407,NSE,Financial Services,Capital Markets,SHAREINDIA.NS
AARTIDRUGS,Aarti Drugs Limited,397347,NSE,Healthcare,Drug Manufacturers—Specialty & Generic,AARTIDRUGS.NS
SUPRIYA,Supriya Lifescience Limited,397022,NSE,Healthcare,Biotechnology,SUPRIYA.NS
JAMNAAUTO,Jamna Auto Industries Limited,396472,NSE,Consumer Cyclical,Auto Parts,JAMNAAUTO.NS
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,389318,NSE,Consumer Defensive,Confectioners,DALMIASUG.NS
NESCO,Nesco Limited,389291,NSE,Industrials,Conglomerates,NESCO.NS
MANINFRA,Man Infraconstruction Limited,387771,NSE,Industrials,Engineering & Construction,MANINFRA.NS
COCHINSHIP,Cochin Shipyard Limited,386992,NSE,Industrials,Aerospace & Defense,COCHINSHIP.NS
MAITHANALL,Maithan Alloys Limited,386499,NSE,Basic Materials,Steel,MAITHANALL.NS
LAOPALA,La Opala RG Limited,385281,NSE,Consumer Cyclical,978,LAOPALA.NS
WOCKPHARMA,Wockhardt Limited,379743,NSE,Healthcare,Drug Manufacturers—Specialty & Generic,WOCKPHARMA.NS
BOROLTD,Borosil Limited,377593,NSE,Consumer Cyclical,713,BOROLTD.NS
ISGEC,Isgec Heavy Engineering Limited,377427,NSE,Industrials,Specialty Industrial Machinery,ISGEC.NS
CEATLTD,CEAT Limited,377056,NSE,Consumer Cyclical,Auto Parts,CEATLTD.NS
ARVINDFASN,Arvind Fashions Limited,375847,NSE,Consumer Cyclical,Apparel Manufacturing,ARVINDFASN.NS
HCG,Healthcare Global Enterprises Limited,375193,NSE,Healthcare,Medical Care Facilities,HCG.NS
DHANI,Dhani Services Limited,374707,NSE,Financial Services,Capital Markets,DHANI.NS
IRCON,Ircon International Limited,374325,NSE,Industrials,Engineering & Construction,IRCON.NS
TARSONS,Tarsons Products Limited,374014,NSE,Healthcare,Medical Instruments & Supplies,TARSONS.NS
KARURVYSYA,Karur Vysya Bank Limited,370334,NSE,Financial Services,Banks—Regional,KARURVYSYA.NS
MAHSEAMLES,Maharashtra Seamless Limited,369536,NSE,Basic Materials,Steel,MAHSEAMLES.NS
STARCEMENT,Star Cement Limited,369536,NSE,Basic Materials,Building Materials,STARCEMENT.NS
